frame,seq,t_mono,x,y,contrast,moat,crowd
658,658,338.959051,600,465,135,93,5
660,660,339.039038,618,457,66,48,3
661,661,339.079094,626,452,64,11,2
664,664,339.199023,653,434,111,57,3
665,665,339.239006,656,431,107,64,3
666,666,339.278898,662,428,67,33,4
667,667,339.318925,667,425,107,74,1
668,668,339.358944,672,422,113,59,2
669,669,339.398869,675,420,119,67,4
670,670,339.438895,674,418,137,81,1
671,671,339.478777,673,416,115,51,3
672,672,339.518882,672,415,128,76,3
673,673,339.558982,672,414,127,61,2
674,674,339.598793,667,412,108,70,4
675,675,339.639509,661,412,94,52,3
676,676,339.678757,654,415,93,48,2
677,677,339.718674,649,416,100,46,2
678,678,339.758656,646,421,102,45,2
679,679,339.798649,643,422,77,35,2
680,680,339.838659,635,423,67,23,4
681,681,339.878680,628,426,95,58,2
682,682,339.918726,624,428,135,98,2
683,683,339.958694,622,430,119,63,3
684,684,339.998829,621,432,141,91,3
685,685,340.038540,617,433,168,117,3
686,686,340.078567,616,435,160,122,2
687,687,340.118551,618,438,162,107,4
688,688,340.158692,619,438,148,93,3
689,689,340.198404,617,440,151,80,4
690,690,340.238409,615,442,164,94,3
691,691,340.278479,611,443,143,93,5
692,692,340.318566,609,444,184,117,3
693,693,340.358620,609,445,188,126,3
699,699,340.598332,675,453,70,36,2
700,700,340.638323,681,457,124,71,3
701,701,340.678387,685,462,89,25,2
702,702,340.718388,688,466,103,46,5
703,703,340.758433,689,468,187,107,2
704,704,340.798205,689,470,181,96,3
705,705,340.838272,689,473,136,90,2
706,706,340.878355,690,475,139,85,3
707,707,340.918354,689,475,187,115,2
708,708,340.958340,687,476,189,131,3
709,709,340.998369,686,477,135,76,5
710,710,341.038229,686,478,141,87,4
711,711,341.078286,685,478,159,90,3
712,712,341.118264,684,480,140,84,5
713,713,341.158129,683,480,179,131,3
714,714,341.198191,683,478,124,75,3
715,715,341.238162,681,478,185,116,3
716,716,341.278189,680,476,121,62,2
717,717,341.318221,678,476,89,22,3
720,720,341.438177,655,482,107,76,3
722,722,341.518050,640,485,139,102,2
723,723,341.558049,637,485,162,111,1
724,724,341.598038,635,484,177,125,2
725,725,341.637907,634,485,124,85,3
726,726,341.677893,633,484,146,105,3
727,727,341.717892,630,483,151,126,2
728,728,341.758005,629,483,159,109,3
729,729,341.797976,631,483,127,80,4
730,730,341.837772,635,483,151,103,3
731,731,341.877886,637,483,159,103,3
732,732,341.917905,639,485,186,134,1
733,733,341.957769,641,487,79,19,3
734,734,341.997808,645,490,141,90,4
735,735,342.037654,650,494,121,79,5
736,736,342.077707,653,498,109,54,4
737,737,342.117696,655,504,116,62,1
738,738,342.157719,659,510,111,81,4
739,739,342.197660,665,516,133,96,2
740,740,342.237858,666,522,134,77,2
741,741,342.277766,665,527,162,79,4
742,742,342.317868,665,532,105,35,2
743,743,342.357802,671,537,110,72,3
744,744,342.397549,675,542,166,118,3
745,745,342.437695,679,544,162,116,3
746,746,342.477553,683,547,117,78,4
747,747,342.517583,687,556,88,30,3
748,748,342.557541,695,561,68,18,3
749,749,342.597420,701,566,120,81,3
750,750,342.637454,704,572,141,94,5
751,751,342.677733,712,576,68,41,4
752,752,342.717518,721,580,67,41,4
753,753,342.757558,730,585,84,52,3
754,754,342.797637,735,590,143,84,2
755,755,342.837504,737,594,129,54,5
756,756,342.877559,739,600,128,79,2
757,757,342.917425,742,606,114,64,1
758,758,342.957373,745,610,161,111,3
759,759,342.997424,744,612,163,123,2
760,760,343.037340,743,612,183,108,3
761,761,343.077356,740,615,175,138,2
762,762,343.117499,739,614,148,101,3
763,763,343.157363,738,614,156,107,2
764,764,343.197385,734,612,119,69,3
765,765,343.237260,725,611,65,41,3
766,766,343.277434,719,610,112,73,4
767,767,343.317258,713,610,146,112,3
